Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
mb,12696048,2,"Tuesday, October 30, 2012 04:34:52 UTC",46.2518,-116.0360,1.8,12.50,18,"northern Idaho"
hv,60410732,1,"Tuesday, October 30, 2012 04:25:59 UTC",19.4852,-155.4465,1.9,7.50,18,"Island of Hawaii, Hawaii"
ak,10590013,1,"Tuesday, October 30, 2012 04:02:53 UTC",63.9351,-144.9409,1.9,24.70, 5,"Central Alaska"
nn,00392460,9,"Tuesday, October 30, 2012 03:33:41 UTC",38.0560,-118.8847,1.7,3.20,19,"Central California"
uw,60482646,3,"Tuesday, October 30, 2012 03:31:02 UTC",49.0452,-122.5993,1.8,13.80,32,"British Columbia, Canada"
nc,71871590,2,"Tuesday, October 30, 2012 03:21:09 UTC",36.0002,-120.5595,1.5,3.50,48,"Central California"
nc,71871585,2,"Tuesday, October 30, 2012 03:12:02 UTC",37.6165,-119.0450,1.1,20.30,29,"Central California"
pr,12304000,0,"Tuesday, October 30, 2012 03:07:43 UTC",19.0835,-65.1455,2.9,33.00, 8,"Virgin Islands region"
hv,60410692,2,"Tuesday, October 30, 2012 02:58:31 UTC",19.4005,-155.2583,2.6,2.10,25,"Island of Hawaii, Hawaii"
us,b000dh4r,4,"Tuesday, October 30, 2012 02:55:15 UTC",52.4841,-131.4856,5.0,5.10,81,"Queen Charlotte Islands, Canada region"
nc,71871575,1,"Tuesday, October 30, 2012 02:50:53 UTC",38.8098,-122.8248,1.4,1.70,27,"Northern California"
us,b000dh4i,7,"Tuesday, October 30, 2012 02:49:02 UTC",52.3236,-131.9077,6.2,9.70,400,"Queen Charlotte Islands, Canada region"
hv,60410677,1,"Tuesday, October 30, 2012 02:45:10 UTC",19.2457,-155.4338,1.9,32.60,19,"Island of Hawaii, Hawaii"
nc,71871570,2,"Tuesday, October 30, 2012 02:36:44 UTC",37.6202,-119.0365,1.6,20.40,31,"Central California"
hv,60423541,2,"Tuesday, October 30, 2012 02:29:22 UTC",19.4078,-155.3092,2.1,4.20,28,"Island of Hawaii, Hawaii"
ak,10589974,1,"Tuesday, October 30, 2012 02:20:36 UTC",65.3144,-147.1958,1.0,50.10, 4,"northern Alaska"
us,b000dh4b,5,"Tuesday, October 30, 2012 02:17:33 UTC",36.3619,70.8019,4.3,185.30,17,"Hindu Kush region, Afghanistan"
nc,71871565,0,"Tuesday, October 30, 2012 02:09:32 UTC",38.8177,-122.8147,1.1,2.40,20,"Northern California"
ak,10589965,1,"Tuesday, October 30, 2012 01:34:29 UTC",61.5344,-140.9680,2.0,0.00, 8,"Southern Yukon Territory, Canada"
ak,10589955,1,"Tuesday, October 30, 2012 01:17:22 UTC",63.1095,-151.4480,1.7,14.20,11,"Central Alaska"
hv,60423481,2,"Tuesday, October 30, 2012 01:05:52 UTC",19.4187,-155.2398,1.8,3.50,10,"Island of Hawaii, Hawaii"
nc,71871530,0,"Tuesday, October 30, 2012 00:48:10 UTC",37.5347,-118.9952,1.6,2.10, 8,"Central California"
